Size,Random,Reversed,AlmostSorted
500,191,175,138
600,286,320,222
700,235,226,156
800,391,449,286
900,603,426,259
1000,540,385,306
1100,618,609,431
1200,556,497,371
1300,453,440,312
1400,807,733,522
1500,475,555,366
1600,486,493,313
1700,568,556,381
1800,879,914,443
1900,914,888,495
2000,991,936,769
2100,967,838,658
2200,796,777,568
2300,1046,974,711
2400,862,806,591
2500,856,814,590
2600,850,828,603
2700,999,991,745
2800,1092,1008,666
2900,1030,934,636
3000,1106,1135,759
3100,1361,1280,682
3200,1055,1021,700
3300,1063,1155,748
3400,1162,1223,755
3500,1162,1118,734
3600,1202,1214,802
3700,1501,1412,973
3800,1246,1341,712
3900,1893,1747,1324
4000,2366,2265,2052
4100,2153,1901,1591
4200,1650,1466,1160
4300,2325,2138,1663
4400,2101,1700,1322
4500,1677,1701,1320
4600,2057,1768,1369
4700,2205,2271,1763
4800,2115,1698,1266
4900,1828,1680,1290
5000,1935,1662,1294
5100,1948,1944,1562
5200,1859,2421,1472
5300,2358,2335,1682
5400,2203,2234,1519
5500,2209,1931,1396
5600,2497,2136,1501
5700,2607,2715,1901
5800,2266,2124,1439
5900,2514,2856,2010
6000,2460,2929,1686
6100,2459,2576,1585
6200,2671,2427,1526
6300,2361,2280,1653
6400,2207,2352,1378
6500,2332,2203,1368
6600,2912,2741,1838
6700,2373,2449,1725
6800,3010,3098,1675
6900,2392,2347,1429
7000,2556,2752,1459
7100,2610,2887,1832
7200,2733,2640,1591
7300,2735,2862,1494
7400,2613,2955,1641
7500,2837,2604,1591
7600,2797,3042,1660
7700,2672,3012,2290
7800,3274,3035,2048
7900,4047,3968,3135
8000,4183,3636,2860
8100,3989,3592,3058
8200,3563,3629,2534
8300,4051,3670,2693
8400,3541,3091,2668
8500,3661,3034,2620
8600,4014,3472,2862
8700,3751,3529,2533
8800,4391,3573,3112
8900,4709,3994,3531
9000,4738,4006,3037
9100,3997,4141,2665
9200,5491,4643,3898
9300,3678,3296,2605
9400,3986,3727,3133
9500,3824,3421,2725
9600,4323,4579,3157
9700,4090,3695,2732
9800,4388,4051,2941
9900,3701,3576,2494
10000,4094,4166,3354
