Size,Random,Reversed,AlmostSorted
500,2383,2137,1992
600,2784,2455,2578
700,2966,2787,3282
800,3298,3304,3335
900,5046,5043,4511
1000,5157,4931,5047
1100,4846,4701,4142
1200,4947,4378,4469
1300,5217,4739,5062
1400,6209,5791,5908
1500,6339,5971,6653
1600,6612,6021,5915
1700,8401,7299,8411
1800,8115,7774,7514
1900,9008,7940,8009
2000,7499,6971,7713
2100,8113,8073,7682
2200,11445,10893,10417
2300,8029,7909,9030
2400,9507,10479,10071
2500,13141,12010,10829
2600,12444,10902,10882
2700,15143,12864,14246
2800,13456,11661,11643
2900,11875,11269,11706
3000,14965,14344,13834
3100,14381,13603,14125
3200,18820,15135,15847
3300,26034,20946,19089
3400,17325,15756,17124
3500,23357,19277,24447
3600,23027,26414,21205
3700,27135,27400,26847
3800,20902,19180,22459
3900,16351,16804,17200
4000,17254,16380,14881
4100,15438,15471,15101
4200,21369,16680,16996
4300,16779,16728,18390
4400,15147,16113,15321
4500,15901,16188,14518
4600,16165,15586,16071
4700,17362,17443,15814
4800,18128,18633,18186
4900,15099,14907,14527
5000,16229,16431,15510
5100,16567,15468,17702
5200,18212,17185,20095
5300,18410,17625,16831
5400,17619,17252,18074
5500,17822,17776,17771
5600,18731,17198,17021
5700,18847,19272,19807
5800,20312,22696,20596
5900,20233,21865,21065
6000,19746,20320,21451
6100,21132,19847,20205
6200,23119,25252,25333
6300,24736,25652,22760
6400,22951,23359,21175
6500,26864,24559,24637
6600,25655,25982,22914
6700,24984,22287,22555
6800,23457,25229,22836
6900,27383,24918,27684
7000,27503,28551,26818
7100,24323,23436,23499
7200,28450,25204,27002
7300,29011,27500,25805
7400,24900,24731,24835
7500,26165,24143,28399
7600,32791,32195,31573
7700,27427,25644,24752
7800,26322,24483,29338
7900,29656,29978,32385
8000,26631,26527,27819
8100,28971,26542,26064
8200,33225,28170,33139
8300,29662,27979,29314
8400,28954,29304,28179
8500,35050,31420,28768
8600,33719,29195,30202
8700,30898,31324,30998
8800,34875,36753,34135
8900,31996,28922,32566
9000,37918,32195,33161
9100,36436,34734,35187
9200,40138,35303,37302
9300,37563,41556,36728
9400,34892,31705,32239
9500,35922,34878,35792
9600,34860,32168,31821
9700,36440,32922,29529
9800,36554,36458,35479
9900,36288,32799,31657
10000,41222,34411,36080
